TIME,1. sick,2. healthy,
0.0,0.0,300.0,
1.0,0.0,306.0,
2.0,0.0,315.0,
3.0,0.0,309.0,
4.0,54.0,253.0,
5.0,54.0,253.0,
6.0,54.0,253.0,
7.0,54.0,253.0,
8.0,54.0,253.0,
9.0,54.0,253.0,
10.0,74.0,235.0,
11.0,79.0,235.0,
12.0,91.0,219.0,
13.0,108.0,195.0,
14.0,120.0,181.0,
15.0,134.0,169.0,
16.0,147.0,148.0,
17.0,156.0,135.0,
18.0,158.0,135.0,
19.0,160.0,129.0,
20.0,172.0,118.0,
21.0,169.0,118.0,
22.0,171.0,113.0,
23.0,182.0,121.0,
24.0,172.0,116.0,
25.0,178.0,102.0,
26.0,177.0,110.0,
27.0,168.0,105.0,
28.0,163.0,98.0,
29.0,165.0,92.0,
30.0,170.0,92.0,
31.0,172.0,92.0,
32.0,171.0,90.0,
33.0,170.0,86.0,
34.0,169.0,81.0,
35.0,159.0,82.0,
36.0,160.0,81.0,
37.0,157.0,81.0,
38.0,156.0,89.0,
39.0,151.0,84.0,
40.0,152.0,88.0,
41.0,155.0,83.0,
42.0,161.0,79.0,
43.0,161.0,83.0,
44.0,165.0,82.0,
45.0,162.0,79.0,
46.0,161.0,79.0,
47.0,161.0,68.0,
48.0,160.0,75.0,
49.0,153.0,74.0,
50.0,155.0,71.0,
51.0,150.0,71.0,
52.0,152.0,71.0,
53.0,151.0,69.0,
54.0,154.0,75.0,
55.0,155.0,68.0,
56.0,151.0,55.0,
57.0,148.0,58.0,
58.0,142.0,59.0,
59.0,140.0,62.0,
60.0,140.0,64.0,
61.0,142.0,61.0,
62.0,134.0,63.0,
63.0,131.0,69.0,
64.0,134.0,67.0,
65.0,131.0,68.0,
66.0,126.0,67.0,
67.0,116.0,69.0,
68.0,125.0,71.0,
69.0,127.0,71.0,
70.0,126.0,69.0,
71.0,120.0,69.0,
72.0,125.0,76.0,
73.0,127.0,75.0,
74.0,126.0,81.0,
75.0,127.0,89.0,
76.0,129.0,90.0,
77.0,126.0,89.0,
78.0,130.0,85.0,
79.0,136.0,78.0,
80.0,142.0,79.0,
81.0,140.0,86.0,
82.0,150.0,83.0,
83.0,159.0,91.0,
84.0,154.0,89.0,
85.0,157.0,80.0,
86.0,156.0,78.0,
87.0,157.0,74.0,
88.0,157.0,83.0,
89.0,147.0,96.0,
90.0,158.0,94.0,
91.0,162.0,84.0,
92.0,163.0,91.0,
93.0,170.0,80.0,
94.0,182.0,74.0,
95.0,183.0,69.0,
96.0,188.0,71.0,
97.0,187.0,72.0,
98.0,194.0,77.0,
99.0,183.0,82.0,
100.0,181.0,76.0,
101.0,188.0,74.0,
102.0,180.0,66.0,
103.0,184.0,71.0,
104.0,180.0,76.0,
105.0,180.0,85.0,
106.0,172.0,81.0,
107.0,164.0,75.0,
108.0,159.0,78.0,
109.0,144.0,77.0,
110.0,139.0,82.0,
111.0,144.0,86.0,
112.0,148.0,88.0,
113.0,154.0,88.0,
114.0,157.0,80.0,
115.0,152.0,88.0,
116.0,154.0,85.0,
117.0,158.0,77.0,
118.0,157.0,74.0,
119.0,160.0,71.0,
120.0,156.0,70.0,
121.0,158.0,75.0,
122.0,155.0,77.0,
123.0,145.0,78.0,
124.0,151.0,67.0,
125.0,145.0,67.0,
126.0,139.0,74.0,
127.0,137.0,71.0,
128.0,141.0,63.0,
129.0,140.0,70.0,
130.0,145.0,67.0,
131.0,139.0,76.0,
132.0,132.0,81.0,
133.0,126.0,85.0,
134.0,120.0,84.0,
135.0,114.0,79.0,
136.0,112.0,85.0,
137.0,113.0,84.0,
138.0,120.0,76.0,
139.0,118.0,69.0,
140.0,116.0,67.0,
141.0,113.0,67.0,
142.0,112.0,66.0,
143.0,106.0,67.0,
144.0,102.0,65.0,
145.0,103.0,65.0,
146.0,101.0,63.0,
147.0,100.0,65.0,
148.0,103.0,60.0,
149.0,106.0,59.0,
150.0,102.0,52.0,
151.0,102.0,52.0,
152.0,103.0,52.0,
153.0,102.0,56.0,
154.0,102.0,62.0,
155.0,100.0,60.0,
156.0,99.0,63.0,
157.0,97.0,60.0,
158.0,97.0,62.0,
159.0,100.0,66.0,
160.0,98.0,65.0,
161.0,96.0,61.0,
162.0,96.0,62.0,
163.0,95.0,54.0,
164.0,94.0,55.0,
165.0,94.0,55.0,
166.0,96.0,49.0,
167.0,102.0,49.0,
168.0,98.0,50.0,
169.0,95.0,50.0,
170.0,94.0,49.0,
171.0,90.0,60.0,
172.0,87.0,58.0,
173.0,89.0,51.0,
174.0,88.0,47.0,
175.0,89.0,45.0,
176.0,83.0,44.0,
177.0,82.0,44.0,
178.0,82.0,44.0,
179.0,85.0,35.0,
180.0,89.0,35.0,
