"export-plot data (NetLogo 5.3)"
"epidemic.nlogo"
"03/09/2016 21:32:06:036 +0000"

"MODEL SETTINGS"
"immune-chance","num-infect","initial-people","recovery-chance"
"5","50","400","7"

"""Health Rates"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","5360","0","440","true","""default""","false","6"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","15","5000"
"""pen-1""","true","0","1","55","5000"
"""pen-2""","true","0","1","5","5000"
"""pen-3""","true","0","1","25","5000"
"""pen-4""","true","0","1","35","5000"
"""pen-5""","true","0","1","45","5000"

"""default""",,,,"""pen-1""",,,,"""pen-2""",,,,"""pen-3""",,,,"""pen-4""",,,,"""pen-5"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true","0","400","55","true","0","7","5","true","0","5","25","true","0","400","35","true","0","50","45","true"
"1","58","15","true","1","342","55","true","1","7","5","true","1","5","25","true","1","400","35","true","1","50","45","true"
"2","66","15","true","2","334","55","true","2","7","5","true","2","5","25","true","2","400","35","true","2","50","45","true"
"3","82","15","true","3","318","55","true","3","7","5","true","3","5","25","true","3","400","35","true","3","50","45","true"
"4","95","15","true","4","305","55","true","4","7","5","true","4","5","25","true","4","400","35","true","4","50","45","true"
"5","104","15","true","5","296","55","true","5","7","5","true","5","5","25","true","5","400","35","true","5","50","45","true"
"6","118","15","true","6","282","55","true","6","7","5","true","6","5","25","true","6","400","35","true","6","50","45","true"
"7","132","15","true","7","268","55","true","7","7","5","true","7","5","25","true","7","400","35","true","7","50","45","true"
"8","152","15","true","8","248","55","true","8","7","5","true","8","5","25","true","8","400","35","true","8","50","45","true"
"9","171","15","true","9","229","55","true","9","7","5","true","9","5","25","true","9","400","35","true","9","50","45","true"
"10","192","15","true","10","208","55","true","10","7","5","true","10","5","25","true","10","400","35","true","10","50","45","true"
"11","205","15","true","11","195","55","true","11","7","5","true","11","5","25","true","11","400","35","true","11","50","45","true"
"12","209","15","true","12","191","55","true","12","7","5","true","12","5","25","true","12","400","35","true","12","50","45","true"
"13","222","15","true","13","178","55","true","13","7","5","true","13","5","25","true","13","400","35","true","13","50","45","true"
"14","233","15","true","14","167","55","true","14","7","5","true","14","5","25","true","14","400","35","true","14","50","45","true"
"15","235","15","true","15","165","55","true","15","7","5","true","15","5","25","true","15","400","35","true","15","50","45","true"
"16","245","15","true","16","155","55","true","16","7","5","true","16","5","25","true","16","400","35","true","16","50","45","true"
"17","248","15","true","17","152","55","true","17","7","5","true","17","5","25","true","17","400","35","true","17","50","45","true"
"18","268","15","true","18","132","55","true","18","7","5","true","18","5","25","true","18","400","35","true","18","50","45","true"
"19","273","15","true","19","127","55","true","19","7","5","true","19","5","25","true","19","400","35","true","19","50","45","true"
"20","275","15","true","20","125","55","true","20","7","5","true","20","5","25","true","20","400","35","true","20","50","45","true"
"21","285","15","true","21","115","55","true","21","7","5","true","21","5","25","true","21","400","35","true","21","50","45","true"
"22","279","15","true","22","121","55","true","22","7","5","true","22","5","25","true","22","400","35","true","22","50","45","true"
"23","284","15","true","23","116","55","true","23","7","5","true","23","5","25","true","23","400","35","true","23","50","45","true"
"24","279","15","true","24","121","55","true","24","7","5","true","24","5","25","true","24","400","35","true","24","50","45","true"
"25","276","15","true","25","124","55","true","25","7","5","true","25","5","25","true","25","400","35","true","25","50","45","true"
"26","283","15","true","26","117","55","true","26","7","5","true","26","5","25","true","26","400","35","true","26","50","45","true"
"27","292","15","true","27","108","55","true","27","7","5","true","27","5","25","true","27","400","35","true","27","50","45","true"
"28","299","15","true","28","101","55","true","28","7","5","true","28","5","25","true","28","400","35","true","28","50","45","true"
"29","286","15","true","29","114","55","true","29","7","5","true","29","5","25","true","29","400","35","true","29","50","45","true"
"30","288","15","true","30","112","55","true","30","7","5","true","30","5","25","true","30","400","35","true","30","50","45","true"
"31","298","15","true","31","102","55","true","31","7","5","true","31","5","25","true","31","400","35","true","31","50","45","true"
"32","289","15","true","32","111","55","true","32","7","5","true","32","5","25","true","32","400","35","true","32","50","45","true"
"33","299","15","true","33","101","55","true","33","7","5","true","33","5","25","true","33","400","35","true","33","50","45","true"
"34","298","15","true","34","102","55","true","34","7","5","true","34","5","25","true","34","400","35","true","34","50","45","true"
"35","297","15","true","35","103","55","true","35","7","5","true","35","5","25","true","35","400","35","true","35","50","45","true"
"36","296","15","true","36","104","55","true","36","7","5","true","36","5","25","true","36","400","35","true","36","50","45","true"
"37","299","15","true","37","101","55","true","37","7","5","true","37","5","25","true","37","400","35","true","37","50","45","true"
"38","290","15","true","38","110","55","true","38","7","5","true","38","5","25","true","38","400","35","true","38","50","45","true"
"39","297","15","true","39","103","55","true","39","7","5","true","39","5","25","true","39","400","35","true","39","50","45","true"
"40","291","15","true","40","109","55","true","40","7","5","true","40","5","25","true","40","400","35","true","40","50","45","true"
"41","298","15","true","41","102","55","true","41","7","5","true","41","5","25","true","41","400","35","true","41","50","45","true"
"42","296","15","true","42","104","55","true","42","7","5","true","42","5","25","true","42","400","35","true","42","50","45","true"
"43","296","15","true","43","104","55","true","43","7","5","true","43","5","25","true","43","400","35","true","43","50","45","true"
"44","291","15","true","44","109","55","true","44","7","5","true","44","5","25","true","44","400","35","true","44","50","45","true"
"45","290","15","true","45","110","55","true","45","7","5","true","45","5","25","true","45","400","35","true","45","50","45","true"
"46","276","15","true","46","124","55","true","46","7","5","true","46","5","25","true","46","400","35","true","46","50","45","true"
"47","280","15","true","47","120","55","true","47","7","5","true","47","5","25","true","47","400","35","true","47","50","45","true"
"48","284","15","true","48","116","55","true","48","7","5","true","48","5","25","true","48","400","35","true","48","50","45","true"
"49","282","15","true","49","118","55","true","49","7","5","true","49","5","25","true","49","400","35","true","49","50","45","true"
