"export-plot data (NetLogo 5.3)"
"epidemic.nlogo"
"03/07/2016 22:02:54:376 +0000"

"MODEL SETTINGS"
"num-infect","immune-chance","initial-people","recovery-chance"
"50","50","200","7"

"""Health Rates"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","5360","0","220","true","""default""","false","6"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","15","5000"
"""pen-1""","true","0","1","55","5000"
"""pen-2""","true","0","1","5","5000"
"""pen-3""","true","0","1","25","5000"
"""pen-4""","true","0","1","35","5000"
"""pen-5""","true","0","1","45","5000"

"""default""",,,,"""pen-1""",,,,"""pen-2""",,,,"""pen-3""",,,,"""pen-4""",,,,"""pen-5"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true","0","200","55","true","0","7","5","true","0","50","25","true","0","200","35","true","0","50","45","true"
"1","25","15","true","1","175","55","true","1","7","5","true","1","50","25","true","1","200","35","true","1","50","45","true"
"2","22","15","true","2","178","55","true","2","7","5","true","2","50","25","true","2","200","35","true","2","50","45","true"
"3","24","15","true","3","176","55","true","3","7","5","true","3","50","25","true","3","200","35","true","3","50","45","true"
"4","20","15","true","4","180","55","true","4","7","5","true","4","50","25","true","4","200","35","true","4","50","45","true"
"5","21","15","true","5","179","55","true","5","7","5","true","5","50","25","true","5","200","35","true","5","50","45","true"
"6","22","15","true","6","178","55","true","6","7","5","true","6","50","25","true","6","200","35","true","6","50","45","true"
"7","22","15","true","7","178","55","true","7","7","5","true","7","50","25","true","7","200","35","true","7","50","45","true"
"8","24","15","true","8","176","55","true","8","7","5","true","8","50","25","true","8","200","35","true","8","50","45","true"
"9","24","15","true","9","176","55","true","9","7","5","true","9","50","25","true","9","200","35","true","9","50","45","true"
"10","24","15","true","10","176","55","true","10","7","5","true","10","50","25","true","10","200","35","true","10","50","45","true"
"11","24","15","true","11","176","55","true","11","7","5","true","11","50","25","true","11","200","35","true","11","50","45","true"
"12","24","15","true","12","176","55","true","12","7","5","true","12","50","25","true","12","200","35","true","12","50","45","true"
"13","25","15","true","13","175","55","true","13","7","5","true","13","50","25","true","13","200","35","true","13","50","45","true"
"14","22","15","true","14","178","55","true","14","7","5","true","14","50","25","true","14","200","35","true","14","50","45","true"
"15","23","15","true","15","177","55","true","15","7","5","true","15","50","25","true","15","200","35","true","15","50","45","true"
"16","23","15","true","16","177","55","true","16","7","5","true","16","50","25","true","16","200","35","true","16","50","45","true"
"17","22","15","true","17","178","55","true","17","7","5","true","17","50","25","true","17","200","35","true","17","50","45","true"
"18","22","15","true","18","178","55","true","18","7","5","true","18","50","25","true","18","200","35","true","18","50","45","true"
"19","24","15","true","19","176","55","true","19","7","5","true","19","50","25","true","19","200","35","true","19","50","45","true"
"20","25","15","true","20","175","55","true","20","7","5","true","20","50","25","true","20","200","35","true","20","50","45","true"
"21","22","15","true","21","178","55","true","21","7","5","true","21","50","25","true","21","200","35","true","21","50","45","true"
"22","23","15","true","22","177","55","true","22","7","5","true","22","50","25","true","22","200","35","true","22","50","45","true"
"23","22","15","true","23","178","55","true","23","7","5","true","23","50","25","true","23","200","35","true","23","50","45","true"
"24","22","15","true","24","178","55","true","24","7","5","true","24","50","25","true","24","200","35","true","24","50","45","true"
"25","23","15","true","25","177","55","true","25","7","5","true","25","50","25","true","25","200","35","true","25","50","45","true"
"26","22","15","true","26","178","55","true","26","7","5","true","26","50","25","true","26","200","35","true","26","50","45","true"
"27","23","15","true","27","177","55","true","27","7","5","true","27","50","25","true","27","200","35","true","27","50","45","true"
"28","23","15","true","28","177","55","true","28","7","5","true","28","50","25","true","28","200","35","true","28","50","45","true"
"29","24","15","true","29","176","55","true","29","7","5","true","29","50","25","true","29","200","35","true","29","50","45","true"
"30","21","15","true","30","179","55","true","30","7","5","true","30","50","25","true","30","200","35","true","30","50","45","true"
"31","20","15","true","31","180","55","true","31","7","5","true","31","50","25","true","31","200","35","true","31","50","45","true"
"32","19","15","true","32","181","55","true","32","7","5","true","32","50","25","true","32","200","35","true","32","50","45","true"
"33","18","15","true","33","182","55","true","33","7","5","true","33","50","25","true","33","200","35","true","33","50","45","true"
"34","19","15","true","34","181","55","true","34","7","5","true","34","50","25","true","34","200","35","true","34","50","45","true"
"35","18","15","true","35","182","55","true","35","7","5","true","35","50","25","true","35","200","35","true","35","50","45","true"
"36","18","15","true","36","182","55","true","36","7","5","true","36","50","25","true","36","200","35","true","36","50","45","true"
"37","17","15","true","37","183","55","true","37","7","5","true","37","50","25","true","37","200","35","true","37","50","45","true"
"38","17","15","true","38","183","55","true","38","7","5","true","38","50","25","true","38","200","35","true","38","50","45","true"
"39","18","15","true","39","182","55","true","39","7","5","true","39","50","25","true","39","200","35","true","39","50","45","true"
"40","21","15","true","40","179","55","true","40","7","5","true","40","50","25","true","40","200","35","true","40","50","45","true"
"41","20","15","true","41","180","55","true","41","7","5","true","41","50","25","true","41","200","35","true","41","50","45","true"
"42","18","15","true","42","182","55","true","42","7","5","true","42","50","25","true","42","200","35","true","42","50","45","true"
"43","16","15","true","43","184","55","true","43","7","5","true","43","50","25","true","43","200","35","true","43","50","45","true"
"44","16","15","true","44","184","55","true","44","7","5","true","44","50","25","true","44","200","35","true","44","50","45","true"
"45","16","15","true","45","184","55","true","45","7","5","true","45","50","25","true","45","200","35","true","45","50","45","true"
"46","16","15","true","46","184","55","true","46","7","5","true","46","50","25","true","46","200","35","true","46","50","45","true"
"47","16","15","true","47","184","55","true","47","7","5","true","47","50","25","true","47","200","35","true","47","50","45","true"
"48","15","15","true","48","185","55","true","48","7","5","true","48","50","25","true","48","200","35","true","48","50","45","true"
"49","17","15","true","49","183","55","true","49","7","5","true","49","50","25","true","49","200","35","true","49","50","45","true"
"50","18","15","true","50","182","55","true","50","7","5","true","50","50","25","true","50","200","35","true","50","50","45","true"
"51","15","15","true","51","185","55","true","51","7","5","true","51","50","25","true","51","200","35","true","51","50","45","true"
"52","16","15","true","52","184","55","true","52","7","5","true","52","50","25","true","52","200","35","true","52","50","45","true"
"53","17","15","true","53","183","55","true","53","7","5","true","53","50","25","true","53","200","35","true","53","50","45","true"
"54","18","15","true","54","182","55","true","54","7","5","true","54","50","25","true","54","200","35","true","54","50","45","true"
