"export-plot data (NetLogo 5.3)"
"epidemic.nlogo"
"03/08/2016 09:19:59:682 +0000"

"MODEL SETTINGS"
"initial-people","recovery-chance","immune-chance","num-infect"
"200","7","5","100"

"""Health Rates"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","5360","0","220","true","""default""","false","6"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","15","5000"
"""pen-1""","true","0","1","55","5000"
"""pen-2""","true","0","1","5","5000"
"""pen-3""","true","0","1","25","5000"
"""pen-4""","true","0","1","35","5000"
"""pen-5""","true","0","1","45","5000"

"""default""",,,,"""pen-1""",,,,"""pen-2""",,,,"""pen-3""",,,,"""pen-4""",,,,"""pen-5"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true","0","200","55","true","0","7","5","true","0","5","25","true","0","200","35","true","0","100","45","true"
"1","75","15","true","1","125","55","true","1","7","5","true","1","5","25","true","1","200","35","true","1","100","45","true"
"2","80","15","true","2","120","55","true","2","7","5","true","2","5","25","true","2","200","35","true","2","100","45","true"
"3","83","15","true","3","117","55","true","3","7","5","true","3","5","25","true","3","200","35","true","3","100","45","true"
"4","82","15","true","4","118","55","true","4","7","5","true","4","5","25","true","4","200","35","true","4","100","45","true"
"5","87","15","true","5","113","55","true","5","7","5","true","5","5","25","true","5","200","35","true","5","100","45","true"
"6","85","15","true","6","115","55","true","6","7","5","true","6","5","25","true","6","200","35","true","6","100","45","true"
"7","83","15","true","7","117","55","true","7","7","5","true","7","5","25","true","7","200","35","true","7","100","45","true"
"8","80","15","true","8","120","55","true","8","7","5","true","8","5","25","true","8","200","35","true","8","100","45","true"
"9","87","15","true","9","113","55","true","9","7","5","true","9","5","25","true","9","200","35","true","9","100","45","true"
"10","85","15","true","10","115","55","true","10","7","5","true","10","5","25","true","10","200","35","true","10","100","45","true"
"11","88","15","true","11","112","55","true","11","7","5","true","11","5","25","true","11","200","35","true","11","100","45","true"
"12","88","15","true","12","112","55","true","12","7","5","true","12","5","25","true","12","200","35","true","12","100","45","true"
"13","90","15","true","13","110","55","true","13","7","5","true","13","5","25","true","13","200","35","true","13","100","45","true"
"14","96","15","true","14","104","55","true","14","7","5","true","14","5","25","true","14","200","35","true","14","100","45","true"
"15","106","15","true","15","94","55","true","15","7","5","true","15","5","25","true","15","200","35","true","15","100","45","true"
"16","105","15","true","16","95","55","true","16","7","5","true","16","5","25","true","16","200","35","true","16","100","45","true"
"17","108","15","true","17","92","55","true","17","7","5","true","17","5","25","true","17","200","35","true","17","100","45","true"
"18","107","15","true","18","93","55","true","18","7","5","true","18","5","25","true","18","200","35","true","18","100","45","true"
