"export-plot data (NetLogo 5.3)"
"epidemic.nlogo"
"03/09/2016 21:44:03:053 +0000"

"MODEL SETTINGS"
"immune-chance","num-infect","initial-people","recovery-chance"
"9","50","200","11"

"""Health Rates"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","5360","0","220","true","""default""","false","6"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","15","5000"
"""pen-1""","true","0","1","55","5000"
"""pen-2""","true","0","1","5","5000"
"""pen-3""","true","0","1","25","5000"
"""pen-4""","true","0","1","35","5000"
"""pen-5""","true","0","1","45","5000"

"""default""",,,,"""pen-1""",,,,"""pen-2""",,,,"""pen-3""",,,,"""pen-4""",,,,"""pen-5"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true","0","200","55","true","0","11","5","true","0","9","25","true","0","200","35","true","0","50","45","true"
"1","37","15","true","1","163","55","true","1","11","5","true","1","9","25","true","1","200","35","true","1","50","45","true"
"2","35","15","true","2","165","55","true","2","11","5","true","2","9","25","true","2","200","35","true","2","50","45","true"
"3","32","15","true","3","168","55","true","3","11","5","true","3","9","25","true","3","200","35","true","3","50","45","true"
"4","29","15","true","4","171","55","true","4","11","5","true","4","9","25","true","4","200","35","true","4","50","45","true"
"5","31","15","true","5","169","55","true","5","11","5","true","5","9","25","true","5","200","35","true","5","50","45","true"
"6","27","15","true","6","173","55","true","6","11","5","true","6","9","25","true","6","200","35","true","6","50","45","true"
"7","23","15","true","7","177","55","true","7","11","5","true","7","9","25","true","7","200","35","true","7","50","45","true"
"8","30","15","true","8","170","55","true","8","11","5","true","8","9","25","true","8","200","35","true","8","50","45","true"
"9","30","15","true","9","170","55","true","9","11","5","true","9","9","25","true","9","200","35","true","9","50","45","true"
"10","31","15","true","10","169","55","true","10","11","5","true","10","9","25","true","10","200","35","true","10","50","45","true"
"11","31","15","true","11","169","55","true","11","11","5","true","11","9","25","true","11","200","35","true","11","50","45","true"
"12","32","15","true","12","168","55","true","12","11","5","true","12","9","25","true","12","200","35","true","12","50","45","true"
"13","32","15","true","13","168","55","true","13","11","5","true","13","9","25","true","13","200","35","true","13","50","45","true"
"14","32","15","true","14","168","55","true","14","11","5","true","14","9","25","true","14","200","35","true","14","50","45","true"
"15","34","15","true","15","166","55","true","15","11","5","true","15","9","25","true","15","200","35","true","15","50","45","true"
"16","33","15","true","16","167","55","true","16","11","5","true","16","9","25","true","16","200","35","true","16","50","45","true"
"17","33","15","true","17","167","55","true","17","11","5","true","17","9","25","true","17","200","35","true","17","50","45","true"
"18","34","15","true","18","166","55","true","18","11","5","true","18","9","25","true","18","200","35","true","18","50","45","true"
"19","35","15","true","19","165","55","true","19","11","5","true","19","9","25","true","19","200","35","true","19","50","45","true"
"20","32","15","true","20","168","55","true","20","11","5","true","20","9","25","true","20","200","35","true","20","50","45","true"
"21","32","15","true","21","168","55","true","21","11","5","true","21","9","25","true","21","200","35","true","21","50","45","true"
"22","33","15","true","22","167","55","true","22","11","5","true","22","9","25","true","22","200","35","true","22","50","45","true"
"23","33","15","true","23","167","55","true","23","11","5","true","23","9","25","true","23","200","35","true","23","50","45","true"
"24","39","15","true","24","161","55","true","24","11","5","true","24","9","25","true","24","200","35","true","24","50","45","true"
"25","37","15","true","25","163","55","true","25","11","5","true","25","9","25","true","25","200","35","true","25","50","45","true"
"26","37","15","true","26","163","55","true","26","11","5","true","26","9","25","true","26","200","35","true","26","50","45","true"
"27","37","15","true","27","163","55","true","27","11","5","true","27","9","25","true","27","200","35","true","27","50","45","true"
"28","39","15","true","28","161","55","true","28","11","5","true","28","9","25","true","28","200","35","true","28","50","45","true"
"29","37","15","true","29","163","55","true","29","11","5","true","29","9","25","true","29","200","35","true","29","50","45","true"
"30","42","15","true","30","158","55","true","30","11","5","true","30","9","25","true","30","200","35","true","30","50","45","true"
"31","40","15","true","31","160","55","true","31","11","5","true","31","9","25","true","31","200","35","true","31","50","45","true"
"32","40","15","true","32","160","55","true","32","11","5","true","32","9","25","true","32","200","35","true","32","50","45","true"
"33","41","15","true","33","159","55","true","33","11","5","true","33","9","25","true","33","200","35","true","33","50","45","true"
"34","41","15","true","34","159","55","true","34","11","5","true","34","9","25","true","34","200","35","true","34","50","45","true"
"35","46","15","true","35","154","55","true","35","11","5","true","35","9","25","true","35","200","35","true","35","50","45","true"
"36","46","15","true","36","154","55","true","36","11","5","true","36","9","25","true","36","200","35","true","36","50","45","true"
"37","44","15","true","37","156","55","true","37","11","5","true","37","9","25","true","37","200","35","true","37","50","45","true"
"38","45","15","true","38","155","55","true","38","11","5","true","38","9","25","true","38","200","35","true","38","50","45","true"
"39","45","15","true","39","155","55","true","39","11","5","true","39","9","25","true","39","200","35","true","39","50","45","true"
"40","42","15","true","40","158","55","true","40","11","5","true","40","9","25","true","40","200","35","true","40","50","45","true"
"41","44","15","true","41","156","55","true","41","11","5","true","41","9","25","true","41","200","35","true","41","50","45","true"
"42","38","15","true","42","162","55","true","42","11","5","true","42","9","25","true","42","200","35","true","42","50","45","true"
"43","38","15","true","43","162","55","true","43","11","5","true","43","9","25","true","43","200","35","true","43","50","45","true"
"44","38","15","true","44","162","55","true","44","11","5","true","44","9","25","true","44","200","35","true","44","50","45","true"
"45","39","15","true","45","161","55","true","45","11","5","true","45","9","25","true","45","200","35","true","45","50","45","true"
"46","40","15","true","46","160","55","true","46","11","5","true","46","9","25","true","46","200","35","true","46","50","45","true"
"47","42","15","true","47","158","55","true","47","11","5","true","47","9","25","true","47","200","35","true","47","50","45","true"
"48","45","15","true","48","155","55","true","48","11","5","true","48","9","25","true","48","200","35","true","48","50","45","true"
"49","46","15","true","49","154","55","true","49","11","5","true","49","9","25","true","49","200","35","true","49","50","45","true"
"50","54","15","true","50","146","55","true","50","11","5","true","50","9","25","true","50","200","35","true","50","50","45","true"
