"export-plot data (NetLogo 5.3)"
"epidemic.nlogo"
"03/08/2016 09:26:57:169 +0000"

"MODEL SETTINGS"
"initial-people","recovery-chance","immune-chance","num-infect"
"200","0","0","1"

"""Health Rates"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","5360","0","220","true","""default""","false","6"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","15","5000"
"""pen-1""","true","0","1","55","5000"
"""pen-2""","true","0","1","5","5000"
"""pen-3""","true","0","1","25","5000"
"""pen-4""","true","0","1","35","5000"
"""pen-5""","true","0","1","45","5000"

"""default""",,,,"""pen-1""",,,,"""pen-2""",,,,"""pen-3""",,,,"""pen-4""",,,,"""pen-5"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true","0","200","55","true","0","0","5","true","0","0","25","true","0","200","35","true","0","1","45","true"
"1","1","15","true","1","199","55","true","1","0","5","true","1","0","25","true","1","200","35","true","1","1","45","true"
"2","1","15","true","2","199","55","true","2","0","5","true","2","0","25","true","2","200","35","true","2","1","45","true"
"3","1","15","true","3","199","55","true","3","0","5","true","3","0","25","true","3","200","35","true","3","1","45","true"
"4","1","15","true","4","199","55","true","4","0","5","true","4","0","25","true","4","200","35","true","4","1","45","true"
"5","1","15","true","5","199","55","true","5","0","5","true","5","0","25","true","5","200","35","true","5","1","45","true"
"6","1","15","true","6","199","55","true","6","0","5","true","6","0","25","true","6","200","35","true","6","1","45","true"
"7","1","15","true","7","199","55","true","7","0","5","true","7","0","25","true","7","200","35","true","7","1","45","true"
"8","1","15","true","8","199","55","true","8","0","5","true","8","0","25","true","8","200","35","true","8","1","45","true"
"9","1","15","true","9","199","55","true","9","0","5","true","9","0","25","true","9","200","35","true","9","1","45","true"
"10","1","15","true","10","199","55","true","10","0","5","true","10","0","25","true","10","200","35","true","10","1","45","true"
"11","2","15","true","11","198","55","true","11","0","5","true","11","0","25","true","11","200","35","true","11","1","45","true"
"12","2","15","true","12","198","55","true","12","0","5","true","12","0","25","true","12","200","35","true","12","1","45","true"
"13","2","15","true","13","198","55","true","13","0","5","true","13","0","25","true","13","200","35","true","13","1","45","true"
"14","3","15","true","14","197","55","true","14","0","5","true","14","0","25","true","14","200","35","true","14","1","45","true"
"15","3","15","true","15","197","55","true","15","0","5","true","15","0","25","true","15","200","35","true","15","1","45","true"
"16","4","15","true","16","196","55","true","16","0","5","true","16","0","25","true","16","200","35","true","16","1","45","true"
