"export-plot data (NetLogo 5.3)"
"epidemic.nlogo"
"03/07/2016 19:35:07:573 +0000"

"MODEL SETTINGS"
"num-infect","immune-chance","initial-people","recovery-chance"
"50","5","200","8"

"""Health Rates"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","5360","0","220","true","""default""","false","6"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","15","5000"
"""pen-1""","true","0","1","55","5000"
"""pen-2""","true","0","1","5","5000"
"""pen-3""","true","0","1","25","5000"
"""pen-4""","true","0","1","35","5000"
"""pen-5""","true","0","1","45","5000"

"""default""",,,,"""pen-1""",,,,"""pen-2""",,,,"""pen-3""",,,,"""pen-4""",,,,"""pen-5"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true","0","200","55","true","0","8","5","true","0","5","25","true","0","200","35","true","0","50","45","true"
"1","41","15","true","1","159","55","true","1","8","5","true","1","5","25","true","1","200","35","true","1","50","45","true"
"2","39","15","true","2","161","55","true","2","8","5","true","2","5","25","true","2","200","35","true","2","50","45","true"
"3","43","15","true","3","157","55","true","3","8","5","true","3","5","25","true","3","200","35","true","3","50","45","true"
"4","44","15","true","4","156","55","true","4","8","5","true","4","5","25","true","4","200","35","true","4","50","45","true"
"5","42","15","true","5","158","55","true","5","8","5","true","5","5","25","true","5","200","35","true","5","50","45","true"
"6","39","15","true","6","161","55","true","6","8","5","true","6","5","25","true","6","200","35","true","6","50","45","true"
"7","35","15","true","7","165","55","true","7","8","5","true","7","5","25","true","7","200","35","true","7","50","45","true"
"8","36","15","true","8","164","55","true","8","8","5","true","8","5","25","true","8","200","35","true","8","50","45","true"
"9","37","15","true","9","163","55","true","9","8","5","true","9","5","25","true","9","200","35","true","9","50","45","true"
"10","40","15","true","10","160","55","true","10","8","5","true","10","5","25","true","10","200","35","true","10","50","45","true"
"11","41","15","true","11","159","55","true","11","8","5","true","11","5","25","true","11","200","35","true","11","50","45","true"
"12","45","15","true","12","155","55","true","12","8","5","true","12","5","25","true","12","200","35","true","12","50","45","true"
"13","48","15","true","13","152","55","true","13","8","5","true","13","5","25","true","13","200","35","true","13","50","45","true"
"14","51","15","true","14","149","55","true","14","8","5","true","14","5","25","true","14","200","35","true","14","50","45","true"
"15","48","15","true","15","152","55","true","15","8","5","true","15","5","25","true","15","200","35","true","15","50","45","true"
"16","54","15","true","16","146","55","true","16","8","5","true","16","5","25","true","16","200","35","true","16","50","45","true"
"17","53","15","true","17","147","55","true","17","8","5","true","17","5","25","true","17","200","35","true","17","50","45","true"
"18","59","15","true","18","141","55","true","18","8","5","true","18","5","25","true","18","200","35","true","18","50","45","true"
"19","59","15","true","19","141","55","true","19","8","5","true","19","5","25","true","19","200","35","true","19","50","45","true"
"20","57","15","true","20","143","55","true","20","8","5","true","20","5","25","true","20","200","35","true","20","50","45","true"
"21","54","15","true","21","146","55","true","21","8","5","true","21","5","25","true","21","200","35","true","21","50","45","true"
"22","55","15","true","22","145","55","true","22","8","5","true","22","5","25","true","22","200","35","true","22","50","45","true"
"23","59","15","true","23","141","55","true","23","8","5","true","23","5","25","true","23","200","35","true","23","50","45","true"
"24","59","15","true","24","141","55","true","24","8","5","true","24","5","25","true","24","200","35","true","24","50","45","true"
"25","60","15","true","25","140","55","true","25","8","5","true","25","5","25","true","25","200","35","true","25","50","45","true"
"26","58","15","true","26","142","55","true","26","8","5","true","26","5","25","true","26","200","35","true","26","50","45","true"
"27","60","15","true","27","140","55","true","27","8","5","true","27","5","25","true","27","200","35","true","27","50","45","true"
"28","62","15","true","28","138","55","true","28","8","5","true","28","5","25","true","28","200","35","true","28","50","45","true"
"29","62","15","true","29","138","55","true","29","8","5","true","29","5","25","true","29","200","35","true","29","50","45","true"
"30","61","15","true","30","139","55","true","30","8","5","true","30","5","25","true","30","200","35","true","30","50","45","true"
"31","65","15","true","31","135","55","true","31","8","5","true","31","5","25","true","31","200","35","true","31","50","45","true"
"32","62","15","true","32","138","55","true","32","8","5","true","32","5","25","true","32","200","35","true","32","50","45","true"
"33","70","15","true","33","130","55","true","33","8","5","true","33","5","25","true","33","200","35","true","33","50","45","true"
"34","66","15","true","34","134","55","true","34","8","5","true","34","5","25","true","34","200","35","true","34","50","45","true"
"35","75","15","true","35","125","55","true","35","8","5","true","35","5","25","true","35","200","35","true","35","50","45","true"
"36","79","15","true","36","121","55","true","36","8","5","true","36","5","25","true","36","200","35","true","36","50","45","true"
"37","80","15","true","37","120","55","true","37","8","5","true","37","5","25","true","37","200","35","true","37","50","45","true"
"38","74","15","true","38","126","55","true","38","8","5","true","38","5","25","true","38","200","35","true","38","50","45","true"
"39","75","15","true","39","125","55","true","39","8","5","true","39","5","25","true","39","200","35","true","39","50","45","true"
"40","76","15","true","40","124","55","true","40","8","5","true","40","5","25","true","40","200","35","true","40","50","45","true"
"41","81","15","true","41","119","55","true","41","8","5","true","41","5","25","true","41","200","35","true","41","50","45","true"
"42","78","15","true","42","122","55","true","42","8","5","true","42","5","25","true","42","200","35","true","42","50","45","true"
"43","82","15","true","43","118","55","true","43","8","5","true","43","5","25","true","43","200","35","true","43","50","45","true"
"44","84","15","true","44","116","55","true","44","8","5","true","44","5","25","true","44","200","35","true","44","50","45","true"
"45","85","15","true","45","115","55","true","45","8","5","true","45","5","25","true","45","200","35","true","45","50","45","true"
"46","91","15","true","46","109","55","true","46","8","5","true","46","5","25","true","46","200","35","true","46","50","45","true"
"47","90","15","true","47","110","55","true","47","8","5","true","47","5","25","true","47","200","35","true","47","50","45","true"
"48","88","15","true","48","112","55","true","48","8","5","true","48","5","25","true","48","200","35","true","48","50","45","true"
"49","86","15","true","49","114","55","true","49","8","5","true","49","5","25","true","49","200","35","true","49","50","45","true"
"50","86","15","true","50","114","55","true","50","8","5","true","50","5","25","true","50","200","35","true","50","50","45","true"
"51","83","15","true","51","117","55","true","51","8","5","true","51","5","25","true","51","200","35","true","51","50","45","true"
"52","84","15","true","52","116","55","true","52","8","5","true","52","5","25","true","52","200","35","true","52","50","45","true"
"53","81","15","true","53","119","55","true","53","8","5","true","53","5","25","true","53","200","35","true","53","50","45","true"
"54","83","15","true","54","117","55","true","54","8","5","true","54","5","25","true","54","200","35","true","54","50","45","true"
"55","82","15","true","55","118","55","true","55","8","5","true","55","5","25","true","55","200","35","true","55","50","45","true"
"56","85","15","true","56","115","55","true","56","8","5","true","56","5","25","true","56","200","35","true","56","50","45","true"
"57","83","15","true","57","117","55","true","57","8","5","true","57","5","25","true","57","200","35","true","57","50","45","true"
"58","83","15","true","58","117","55","true","58","8","5","true","58","5","25","true","58","200","35","true","58","50","45","true"
"59","80","15","true","59","120","55","true","59","8","5","true","59","5","25","true","59","200","35","true","59","50","45","true"
"60","80","15","true","60","120","55","true","60","8","5","true","60","5","25","true","60","200","35","true","60","50","45","true"
"61","83","15","true","61","117","55","true","61","8","5","true","61","5","25","true","61","200","35","true","61","50","45","true"
"62","82","15","true","62","118","55","true","62","8","5","true","62","5","25","true","62","200","35","true","62","50","45","true"
"63","82","15","true","63","118","55","true","63","8","5","true","63","5","25","true","63","200","35","true","63","50","45","true"
"64","81","15","true","64","119","55","true","64","8","5","true","64","5","25","true","64","200","35","true","64","50","45","true"
"65","83","15","true","65","117","55","true","65","8","5","true","65","5","25","true","65","200","35","true","65","50","45","true"
"66","88","15","true","66","112","55","true","66","8","5","true","66","5","25","true","66","200","35","true","66","50","45","true"
"67","88","15","true","67","112","55","true","67","8","5","true","67","5","25","true","67","200","35","true","67","50","45","true"
"68","88","15","true","68","112","55","true","68","8","5","true","68","5","25","true","68","200","35","true","68","50","45","true"
"69","89","15","true","69","111","55","true","69","8","5","true","69","5","25","true","69","200","35","true","69","50","45","true"
"70","82","15","true","70","118","55","true","70","8","5","true","70","5","25","true","70","200","35","true","70","50","45","true"
"71","78","15","true","71","122","55","true","71","8","5","true","71","5","25","true","71","200","35","true","71","50","45","true"
"72","74","15","true","72","126","55","true","72","8","5","true","72","5","25","true","72","200","35","true","72","50","45","true"
"73","75","15","true","73","125","55","true","73","8","5","true","73","5","25","true","73","200","35","true","73","50","45","true"
"74","77","15","true","74","123","55","true","74","8","5","true","74","5","25","true","74","200","35","true","74","50","45","true"
"75","81","15","true","75","119","55","true","75","8","5","true","75","5","25","true","75","200","35","true","75","50","45","true"
"76","81","15","true","76","119","55","true","76","8","5","true","76","5","25","true","76","200","35","true","76","50","45","true"
"77","85","15","true","77","115","55","true","77","8","5","true","77","5","25","true","77","200","35","true","77","50","45","true"
"78","82","15","true","78","118","55","true","78","8","5","true","78","5","25","true","78","200","35","true","78","50","45","true"
"79","79","15","true","79","121","55","true","79","8","5","true","79","5","25","true","79","200","35","true","79","50","45","true"
"80","85","15","true","80","115","55","true","80","8","5","true","80","5","25","true","80","200","35","true","80","50","45","true"
"81","92","15","true","81","108","55","true","81","8","5","true","81","5","25","true","81","200","35","true","81","50","45","true"
"82","92","15","true","82","108","55","true","82","8","5","true","82","5","25","true","82","200","35","true","82","50","45","true"
"83","97","15","true","83","103","55","true","83","8","5","true","83","5","25","true","83","200","35","true","83","50","45","true"
"84","90","15","true","84","110","55","true","84","8","5","true","84","5","25","true","84","200","35","true","84","50","45","true"
"85","94","15","true","85","106","55","true","85","8","5","true","85","5","25","true","85","200","35","true","85","50","45","true"
"86","94","15","true","86","106","55","true","86","8","5","true","86","5","25","true","86","200","35","true","86","50","45","true"
"87","95","15","true","87","105","55","true","87","8","5","true","87","5","25","true","87","200","35","true","87","50","45","true"
"88","90","15","true","88","110","55","true","88","8","5","true","88","5","25","true","88","200","35","true","88","50","45","true"
"89","89","15","true","89","111","55","true","89","8","5","true","89","5","25","true","89","200","35","true","89","50","45","true"
"90","89","15","true","90","111","55","true","90","8","5","true","90","5","25","true","90","200","35","true","90","50","45","true"
"91","92","15","true","91","108","55","true","91","8","5","true","91","5","25","true","91","200","35","true","91","50","45","true"
"92","94","15","true","92","106","55","true","92","8","5","true","92","5","25","true","92","200","35","true","92","50","45","true"
"93","99","15","true","93","101","55","true","93","8","5","true","93","5","25","true","93","200","35","true","93","50","45","true"
"94","96","15","true","94","104","55","true","94","8","5","true","94","5","25","true","94","200","35","true","94","50","45","true"
"95","92","15","true","95","108","55","true","95","8","5","true","95","5","25","true","95","200","35","true","95","50","45","true"
"96","94","15","true","96","106","55","true","96","8","5","true","96","5","25","true","96","200","35","true","96","50","45","true"
"97","94","15","true","97","106","55","true","97","8","5","true","97","5","25","true","97","200","35","true","97","50","45","true"
"98","91","15","true","98","109","55","true","98","8","5","true","98","5","25","true","98","200","35","true","98","50","45","true"
"99","92","15","true","99","108","55","true","99","8","5","true","99","5","25","true","99","200","35","true","99","50","45","true"
"100","92","15","true","100","108","55","true","100","8","5","true","100","5","25","true","100","200","35","true","100","50","45","true"
"101","94","15","true","101","106","55","true","101","8","5","true","101","5","25","true","101","200","35","true","101","50","45","true"
"102","90","15","true","102","110","55","true","102","8","5","true","102","5","25","true","102","200","35","true","102","50","45","true"
"103","87","15","true","103","113","55","true","103","8","5","true","103","5","25","true","103","200","35","true","103","50","45","true"
"104","89","15","true","104","111","55","true","104","8","5","true","104","5","25","true","104","200","35","true","104","50","45","true"
"105","89","15","true","105","111","55","true","105","8","5","true","105","5","25","true","105","200","35","true","105","50","45","true"
"106","94","15","true","106","106","55","true","106","8","5","true","106","5","25","true","106","200","35","true","106","50","45","true"
"107","98","15","true","107","102","55","true","107","8","5","true","107","5","25","true","107","200","35","true","107","50","45","true"
"108","93","15","true","108","107","55","true","108","8","5","true","108","5","25","true","108","200","35","true","108","50","45","true"
"109","91","15","true","109","109","55","true","109","8","5","true","109","5","25","true","109","200","35","true","109","50","45","true"
"110","86","15","true","110","114","55","true","110","8","5","true","110","5","25","true","110","200","35","true","110","50","45","true"
"111","91","15","true","111","109","55","true","111","8","5","true","111","5","25","true","111","200","35","true","111","50","45","true"
"112","94","15","true","112","106","55","true","112","8","5","true","112","5","25","true","112","200","35","true","112","50","45","true"
"113","90","15","true","113","110","55","true","113","8","5","true","113","5","25","true","113","200","35","true","113","50","45","true"
"114","84","15","true","114","116","55","true","114","8","5","true","114","5","25","true","114","200","35","true","114","50","45","true"
"115","83","15","true","115","117","55","true","115","8","5","true","115","5","25","true","115","200","35","true","115","50","45","true"
"116","81","15","true","116","119","55","true","116","8","5","true","116","5","25","true","116","200","35","true","116","50","45","true"
"117","83","15","true","117","117","55","true","117","8","5","true","117","5","25","true","117","200","35","true","117","50","45","true"
"118","81","15","true","118","119","55","true","118","8","5","true","118","5","25","true","118","200","35","true","118","50","45","true"
"119","82","15","true","119","118","55","true","119","8","5","true","119","5","25","true","119","200","35","true","119","50","45","true"
"120","84","15","true","120","116","55","true","120","8","5","true","120","5","25","true","120","200","35","true","120","50","45","true"
"121","85","15","true","121","115","55","true","121","8","5","true","121","5","25","true","121","200","35","true","121","50","45","true"
"122","76","15","true","122","124","55","true","122","8","5","true","122","5","25","true","122","200","35","true","122","50","45","true"
"123","76","15","true","123","124","55","true","123","8","5","true","123","5","25","true","123","200","35","true","123","50","45","true"
"124","74","15","true","124","126","55","true","124","8","5","true","124","5","25","true","124","200","35","true","124","50","45","true"
"125","71","15","true","125","129","55","true","125","8","5","true","125","5","25","true","125","200","35","true","125","50","45","true"
"126","72","15","true","126","128","55","true","126","8","5","true","126","5","25","true","126","200","35","true","126","50","45","true"
"127","73","15","true","127","127","55","true","127","8","5","true","127","5","25","true","127","200","35","true","127","50","45","true"
"128","77","15","true","128","123","55","true","128","8","5","true","128","5","25","true","128","200","35","true","128","50","45","true"
"129","81","15","true","129","119","55","true","129","8","5","true","129","5","25","true","129","200","35","true","129","50","45","true"
"130","84","15","true","130","116","55","true","130","8","5","true","130","5","25","true","130","200","35","true","130","50","45","true"
"131","82","15","true","131","118","55","true","131","8","5","true","131","5","25","true","131","200","35","true","131","50","45","true"
"132","85","15","true","132","115","55","true","132","8","5","true","132","5","25","true","132","200","35","true","132","50","45","true"
"133","82","15","true","133","118","55","true","133","8","5","true","133","5","25","true","133","200","35","true","133","50","45","true"
"134","77","15","true","134","123","55","true","134","8","5","true","134","5","25","true","134","200","35","true","134","50","45","true"
"135","74","15","true","135","126","55","true","135","8","5","true","135","5","25","true","135","200","35","true","135","50","45","true"
"136","74","15","true","136","126","55","true","136","8","5","true","136","5","25","true","136","200","35","true","136","50","45","true"
"137","70","15","true","137","130","55","true","137","8","5","true","137","5","25","true","137","200","35","true","137","50","45","true"
"138","68","15","true","138","132","55","true","138","8","5","true","138","5","25","true","138","200","35","true","138","50","45","true"
"139","66","15","true","139","134","55","true","139","8","5","true","139","5","25","true","139","200","35","true","139","50","45","true"
"140","68","15","true","140","132","55","true","140","8","5","true","140","5","25","true","140","200","35","true","140","50","45","true"
"141","71","15","true","141","129","55","true","141","8","5","true","141","5","25","true","141","200","35","true","141","50","45","true"
"142","76","15","true","142","124","55","true","142","8","5","true","142","5","25","true","142","200","35","true","142","50","45","true"
"143","78","15","true","143","122","55","true","143","8","5","true","143","5","25","true","143","200","35","true","143","50","45","true"
"144","78","15","true","144","122","55","true","144","8","5","true","144","5","25","true","144","200","35","true","144","50","45","true"
"145","76","15","true","145","124","55","true","145","8","5","true","145","5","25","true","145","200","35","true","145","50","45","true"
"146","75","15","true","146","125","55","true","146","8","5","true","146","5","25","true","146","200","35","true","146","50","45","true"
"147","79","15","true","147","121","55","true","147","8","5","true","147","5","25","true","147","200","35","true","147","50","45","true"
"148","76","15","true","148","124","55","true","148","8","5","true","148","5","25","true","148","200","35","true","148","50","45","true"
"149","77","15","true","149","123","55","true","149","8","5","true","149","5","25","true","149","200","35","true","149","50","45","true"
"150","80","15","true","150","120","55","true","150","8","5","true","150","5","25","true","150","200","35","true","150","50","45","true"
"151","82","15","true","151","118","55","true","151","8","5","true","151","5","25","true","151","200","35","true","151","50","45","true"
"152","82","15","true","152","118","55","true","152","8","5","true","152","5","25","true","152","200","35","true","152","50","45","true"
"153","82","15","true","153","118","55","true","153","8","5","true","153","5","25","true","153","200","35","true","153","50","45","true"
"154","85","15","true","154","115","55","true","154","8","5","true","154","5","25","true","154","200","35","true","154","50","45","true"
"155","94","15","true","155","106","55","true","155","8","5","true","155","5","25","true","155","200","35","true","155","50","45","true"
"156","90","15","true","156","110","55","true","156","8","5","true","156","5","25","true","156","200","35","true","156","50","45","true"
"157","92","15","true","157","108","55","true","157","8","5","true","157","5","25","true","157","200","35","true","157","50","45","true"
"158","95","15","true","158","105","55","true","158","8","5","true","158","5","25","true","158","200","35","true","158","50","45","true"
"159","93","15","true","159","107","55","true","159","8","5","true","159","5","25","true","159","200","35","true","159","50","45","true"
"160","93","15","true","160","107","55","true","160","8","5","true","160","5","25","true","160","200","35","true","160","50","45","true"
"161","100","15","true","161","100","55","true","161","8","5","true","161","5","25","true","161","200","35","true","161","50","45","true"
"162","102","15","true","162","98","55","true","162","8","5","true","162","5","25","true","162","200","35","true","162","50","45","true"
"163","98","15","true","163","102","55","true","163","8","5","true","163","5","25","true","163","200","35","true","163","50","45","true"
"164","93","15","true","164","107","55","true","164","8","5","true","164","5","25","true","164","200","35","true","164","50","45","true"
"165","93","15","true","165","107","55","true","165","8","5","true","165","5","25","true","165","200","35","true","165","50","45","true"
"166","96","15","true","166","104","55","true","166","8","5","true","166","5","25","true","166","200","35","true","166","50","45","true"
"167","94","15","true","167","106","55","true","167","8","5","true","167","5","25","true","167","200","35","true","167","50","45","true"
"168","98","15","true","168","102","55","true","168","8","5","true","168","5","25","true","168","200","35","true","168","50","45","true"
"169","102","15","true","169","98","55","true","169","8","5","true","169","5","25","true","169","200","35","true","169","50","45","true"
"170","104","15","true","170","96","55","true","170","8","5","true","170","5","25","true","170","200","35","true","170","50","45","true"
"171","99","15","true","171","101","55","true","171","8","5","true","171","5","25","true","171","200","35","true","171","50","45","true"
"172","100","15","true","172","100","55","true","172","8","5","true","172","5","25","true","172","200","35","true","172","50","45","true"
"173","100","15","true","173","100","55","true","173","8","5","true","173","5","25","true","173","200","35","true","173","50","45","true"
"174","104","15","true","174","96","55","true","174","8","5","true","174","5","25","true","174","200","35","true","174","50","45","true"
"175","100","15","true","175","100","55","true","175","8","5","true","175","5","25","true","175","200","35","true","175","50","45","true"
"176","99","15","true","176","101","55","true","176","8","5","true","176","5","25","true","176","200","35","true","176","50","45","true"
"177","100","15","true","177","100","55","true","177","8","5","true","177","5","25","true","177","200","35","true","177","50","45","true"
"178","97","15","true","178","103","55","true","178","8","5","true","178","5","25","true","178","200","35","true","178","50","45","true"
"179","101","15","true","179","99","55","true","179","8","5","true","179","5","25","true","179","200","35","true","179","50","45","true"
"180","99","15","true","180","101","55","true","180","8","5","true","180","5","25","true","180","200","35","true","180","50","45","true"
"181","95","15","true","181","105","55","true","181","8","5","true","181","5","25","true","181","200","35","true","181","50","45","true"
"182","87","15","true","182","113","55","true","182","8","5","true","182","5","25","true","182","200","35","true","182","50","45","true"
"183","90","15","true","183","110","55","true","183","8","5","true","183","5","25","true","183","200","35","true","183","50","45","true"
"184","98","15","true","184","102","55","true","184","8","5","true","184","5","25","true","184","200","35","true","184","50","45","true"
